url,status_code,accessible,error,last_checked
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_1_4_4_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.226369+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_1_1_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.245739+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_1_2_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.202286+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_1_3_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.268835+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_1_4_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.238564+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_2_1_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.202697+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_2_2_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.243966+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_2_3_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.251079+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_2_4_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.206913+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_3_1_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.213216+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_3_2_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.295485+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_3_3_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.291842+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_3_4_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.267081+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_4_1_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.289859+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_4_2_xli1m_utm11_20241008_20241008.tif,200,True,,2026-08-29T19:29:22.297304+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_4_3_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.602829+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_2_4_4_xli1m_utm11_20241008_20241008.tif,200,True,,2026-08-29T19:29:22.615409+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_1_1_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.599961+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_1_2_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.589853+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_1_3_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.617238+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_1_4_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.596842+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_2_1_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.617990+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_2_2_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.609526+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_2_3_xli1m_utm11_20241008_20241008.tif,200,True,,2026-08-29T19:29:22.583524+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_2_4_xli1m_utm11_20241008_20241008.tif,200,True,,2026-08-29T19:29:22.622505+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_3_1_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.585679+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_3_2_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.613624+00:00
https://nrs.objectstore.gov.bc.ca/gdwuts/082/082f/2024/dem/bc_082f010_3_3_3_xli1m_utm11_20241008_20250813.tif,200,True,,2026-08-29T19:29:22.706136+00:00
